真正活细胞的发现者是谁？,列文虎克（Leeuwenhoek）。
在细胞生物学研究方法中，用于直接观察颗粒物质沿着微管运输动态过程的技术是_____。,录像增差显微镜技术
支原体污染细胞培养物的主要来源通常是_____。,血清
真核生物的核糖体沉降系数通常是多少？,$80S$。
细胞理论中提到，动物只能来自动物，植物只能来自植物，体现了细胞的_____性。,连续（或遗传）
显微研究表明，人体由大约多少种不同类型的细胞组成？,200 多种。
古核生物细胞壁的主要成分是蛋白质，这与原核生物有何不同？,不含肽聚糖。
辛德毕斯病毒（Sindbis virus）属于哪一类病毒科？,披膜病毒科。
在细胞生物学中，$NA = n \sin \alpha$，其中 $n$ 代表什么？,介质折射率。
真核细胞中，蛋白质分选的基本途径分为哪两类？,翻译后转运途径（post-translational translocation）和共翻译转运途径（co-translational translocation）。
指导蛋白质在细胞内定向运输的“地址标签”通称为什么？,分选信号（sorting signal），包括信号序列或信号斑。
信号序列（signal sequence）通常由多少个氨基酸残基组成？,一般长度为 15 到 60 个氨基酸残基。
关于蛋白质分选信号的类型，除了连续的信号序列外，另一种由三维结构形成的信号称为什么？,信号斑（signal patch）。
因发现“蛋白质具有指导其在细胞内转运和定位的内在信号”而获得 1999 年诺贝尔生理学或医学奖的科学家是谁？,Günter Blobel。
典型分泌性蛋白 N 端的信号肽（signal peptide）通常包含哪三个功能区？,N-端、疏水核心区和 C-端。
在共翻译转运中，负责识别新生肽信号序列并将核糖体引导至内质网膜的复合物称为什么？,"信号识别颗粒（Signal Recognition Particle, SRP）。"
信号识别颗粒（SRP）主要由哪些成分组成？,6 种不同的蛋白质和一个 300 核苷酸的 $7S$ RNA。
SRP 复合物中，哪一个亚基作为 GTP 酶并负责结合信号肽的疏水核心？,P54 蛋白亚基。
SRP 受体（SR）位于细胞的哪个部位？,粗面内质网（rER）膜上。
在内质网转运中，SRP 的 P54 亚基和 SR 的 $\alpha$ 亚基结合什么分子时会增强复合物的结合强度？,GTP 分子。
蛋白质进入内质网腔的通道蛋白复合体通称为什么？,移位子（translocon）或 Sec61 复合体。
分泌蛋白在信号肽引导下边翻译边跨膜转运的过程称为什么？,共翻译转运（cotranslational translocation）。
在非细胞系统实验中，若只有 mRNA、SRP 和核糖体而没有微粒体（microsome），翻译过程会发生什么？,肽链合成 70 到 100 个氨基酸残基后，延伸会停止。
内质网膜整合蛋白中，负责使肽链停止向管腔延伸并锚定在膜上的疏水序列称为什么？,"内在停止转移锚定序列（internal stop-transfer anchor sequence, STA）。"
I 型单次跨膜蛋白的拓扑特征是什么？,N 端在内质网腔内，C 端在细胞质基质中，且 N 端信号肽被切除。
决定内质网膜整合蛋白拓扑方向（N 端或 C 端朝向）的主要因素是什么？,内部信号序列两侧氨基酸残基的电荷分布（通常正电荷端留在细胞质基质一侧）。
线粒体基质蛋白的靶向序列（targeting sequence）具有什么结构特征？,形成两性螺旋，一侧富含带正电荷的 Arg 和 Lys，另一侧为疏水残基。
蛋白质进入线粒体或叶绿体前，必须处于什么状态？,由分子伴侣（如 Hsc70）维持的解折叠或非折叠状态。
线粒体外膜上负责蛋白质转运的蛋白复合体称为什么？,Tom 复合体（Translocase of Outer Membrane）。
线粒体内膜上主要的蛋白转运复合体包括哪些？,Tim23/17 复合体和 Tim22 复合体。
叶绿体外膜和内膜上负责蛋白转运的复合体分别称为什么？,Toc 复合体和 Tic 复合体。
过氧化物酶体基质蛋白最常见的分选信号（PTS1）通常位于蛋白质的哪个位置？,C 端。
核定位信号（NLS）与线粒体靶向序列在转运后处理上有何区别？,核定位信号在转运进入细胞核后通常不被切除。
细胞内膜泡运输的三种主要包被膜泡是什么？,COP II、COP I 和网格蛋白（clathrin）包被膜泡。
COP II 包被膜泡主要负责细胞内哪条运输途径？,顺向运输（anterograde transport），即从内质网到高尔基体。
在 COP II 膜泡装配过程中，起募集者作用的小分子 GTP 结合蛋白是什么？,Sar1 蛋白。
Sar1 蛋白的鸟苷酸交换因子（GEF）是哪种内质网膜蛋白？,Sec12 蛋白。
COP II 包被的内层组分是由哪种复合体构成的？,Sec23/Sec24 复合体。
在 COP II 包被中，哪种蛋白质具有 GAP 活性，能促进 Sar1 水解 GTP？,Sec23 蛋白。
COP I 包被膜泡主要介导细胞内哪条运输途径？,逆向运输（retrograde transport），如从高尔基体回收到内质网。
COP I 膜泡装配所需的调节性 GTP 结合蛋白是什么？,ARF（ADP Ribosylation Factor 1）。
内质网腔驻留蛋白（如 PDI）通常具有哪种回收信号序列？,C 端的 KDEL 序列（Lys-Asp-Glu-Leu）。
KDEL 受体与信号序列的亲和力受什么环境因素调节？,$pH$ 值（低 $pH$ 促进在高尔基体结合，高 $pH$ 促进在内质网释放）。
网格蛋白（clathrin）分子的基本结构单元是什么？,三脚蛋白复合物（triskelion），由 3 条重链和 3 条轻链组成。
在受体介导的胞吞作用中，负责将网格蛋白与膜受体连接起来的组分称为什么？,"接头蛋白（Adaptor Protein, AP）复合体。"
在网格蛋白包被膜泡形成过程中，负责介导膜泡从亲本膜上断裂的 GTP 酶是什么？,发动蛋白（dynamin）。
转运膜泡识别并锚定到特定靶膜主要由哪类小 GTP 酶负责？,Rab 蛋白家族。
膜泡融合的核心机制涉及哪两类 SNARE 蛋白的相互作用？,v-SNARE（位于膜泡）和 t-SNARE（位于靶膜）。
v-SNARE 和 t-SNARE 相互缠绕形成的结构称为什么？,SNARE 复合物（SNARE complex）或转式 SNARE 复合物。
融合完成后，负责利用 ATP 能量拆解 SNARE 复合物的蛋白质称为什么？,NSF（N-乙基马来酰亚胺敏感因子）。
Randy Schekman 通过研究哪种生物的突变体发现了调节膜泡运输的关键基因？,酵母（yeast）。
Thomas Südhof 的主要贡献是发现了什么离子控制神经递质囊泡的释放过程？,钙离子（$Ca^{2+}$）。
在高尔基体中，从 cis 面向 trans 面转运的蛋白质通常通过哪种非膜泡方式进行？,膜囊成熟递进（cisternal maturation）。
溶酶体酶在高尔基体 TGN 区被分选的标志是什么？,6-磷酸曼糖（M6P）。
通过受体介导的胞吞作用进入细胞的物质首先到达哪个细胞器？,早期胞内体（early endosome）。
胞内体中 $pH$ 值的逐渐降低是由哪种跨膜蛋白维持的？,$V$ 型质子泵（$V-type\ H^{+}\ ATPase$）。
在蛋白质向线粒体内膜转运的三条途径中，哪条途径涉及 Oxa1 蛋白？,途径 B（涉及线粒体基质中合成或导入后的重插入）。
叶绿体基质蛋白在分选过程中通常需要切除几段信号序列？,一段（即叶绿体转运肽）。
叶绿体类囊体腔蛋白（如质体蓝素）的分选需要哪两种连续的靶向序列？,叶绿体基质靶向序列和类囊体靶向序列。
单次跨膜蛋白的 III 型拓扑结构的 N 端朝向哪里？,内质网腔内。
哪种包被膜泡主要介导从反面高尔基网状结构（TGN）向溶酶体的运输？,网格蛋白/AP1 或 AP3 包被膜泡。
在 COP II 膜泡中，哪个蛋白亚基直接负责与货物的胞质结构域结合？,Sec24 蛋白。
在内质网出口处，由多个膜泡融合形成的中间结构通称为什么？,"管状泡状结构（vesicular tubular cluster, VTC）或 ERGIC。"
哪位科学家因发现 SNAREs 介导膜泡特异性融合而获得 2013 年诺贝尔奖？,James E. Rothman。
指导蛋白质进入细胞核的氨基酸序列特征是什么？,富含 Lys 和 Arg 等碱性氨基酸残基的短序列。
线粒体蛋白转运中的“接触点”（contact site）是指什么？,线粒体外膜和内膜紧密接触，使蛋白能同时穿过两层膜的区域。
蛋白质向过氧化物酶体分选时，蛋白质是否需要解折叠？,不需要（蛋白质可以以折叠状态甚至聚体状态进入）。
COP II 膜泡去装配的关键触发事件是什么？,Sar1 水解其结合的 GTP。
内质网膜蛋白中，SEC61 复合物的主要功能是什么？,作为蛋白质跨膜移位的通道。
在蛋白质分选理论中，“导肽”（leader peptide）主要指哪类细胞器的靶向序列？,线粒体、叶绿体及过氧化物酶体。
IV 型跨膜蛋白的定义是什么？,多次跨膜蛋白（如 $G$ 蛋白偶联受体）。
在高尔基体中，负责回收逃逸的内质网驻留蛋白的膜泡类型是？,COP I 包被膜泡。
网格蛋白包被膜泡在转运到靶膜前，其包被结构会发生什么变化？,脱包被（uncoating），通常需要消耗 ATP。
Rab 蛋白在膜上的定位依赖于其 C 端的什么修饰？,异戊二烯化（prenylation）修饰。
细胞通讯 ($cell\ communication$) 的定义是什么？,细胞通过胞外信号与靶细胞受体结合，引发受体活化及胞内信号转导，从而调节靶细胞的生理反应。
动物相邻细胞间主要通过 _____ 形成直接通讯。,间隙连接 ($gap\ junction$)
植物细胞间通过什么结构实现直接通讯？,胞间连丝 ($plasmodesma$)
信号转导 ($signal\ transduction$) 的核心本质是什么？,将信息从一种形式转换成另一种形式 ($Conversion\ of\ information\ from\ one\ form\ into\ another$)。
根据通讯距离，通过血液循环将激素运输至远距离靶细胞的通讯方式称为 _____。,内分泌 ($endocrine$)
什么是旁分泌 ($paracrine$) 通讯？,信号细胞分泌局部介质到细胞外液，作用于邻近靶细胞的通讯方式。
信号细胞对自身分泌的信号分子产生反应的通讯方式称为 _____。,自分泌 ($autocrine$)
突触信号传递 ($synaptic\ signaling$) 依赖于神经元末梢释放出的哪种物质？,神经递质 ($neurotransmitter$)
接触依赖性通讯 ($contact-dependent\ signaling$) 的特点是什么？,信号分子（膜结合信号分子）与靶细胞受体都固定在质膜上，必须通过细胞接触才能进行。
气体性信号分子（如 $NO$、 $CO$）在信号转导中的特点是什么？,可以自由扩散进入细胞，直接激活效应酶产生第二信使。
疏水性信号分子（如甾类激素、甲状腺素）的受体通常位于哪里？,细胞内部（细胞质基质或核基质中）。
为什么亲水性信号分子（如神经递质、蛋白质类激素）不能透过靶细胞质膜？,因为它们具有亲水性，无法穿透疏水性的磷脂双分子层，必须与表面受体结合。
受体 ($receptor$) 的化学本质绝大多数是什么？,蛋白质（多为糖蛋白）。
根据在细胞内的位置，受体可分为哪两大类？,细胞内受体 ($intracellular\ receptor$) 和细胞表面受体 ($cell-surface\ receptor$)。
细胞表面受体主要包括离子通道偶联受体、 $G$ 蛋白偶联受体和 _____。,酶联受体 ($enzyme-linked\ receptors$)
离子通道偶联受体又被称为 _____。,配体门控离子通道 ($ligand-gated\ channel$)
细胞表面受体介导的“快反应”主要是通过改变什么来影响细胞？,改变胞内已存在的酶或其他蛋白质的活性或功能。
细胞表面受体介导的“慢反应”通常涉及什么过程？,通过调控特异性靶基因的表达，从而改变蛋白质的合成量。
第二信使学说认为，胞外化学信号被称为 _____。,第一信使 ($first\ messenger$)
第二信使 ($second\ messenger$) 的定义是什么？,胞内产生的非蛋白类小分子，其浓度变化应答胞外信号，起携带和放大信号的作用。
目前公认的五种主要第二信使有哪些？,$cAMP$、 $cGMP$、 $Ca^{2+}$、 $DAG$、 $IP_3$。
分子开关 ($molecular\ switches$) 的主要作用是什么？,通过激活和失活机制，精确控制细胞内信号传递的级联反应。
在蛋白激酶/蛋白磷酸酶系统这种分子开关中，蛋白质的活化通常依赖于 _____。,磷酸化作用 ($phosphorylation$)
负责使靶蛋白去磷酸化的酶是 _____。,蛋白磷酸水解酶 ($protein\ phosphatase$)
$GTPase$ 开关蛋白处于活化态时结合的是哪种分子？,$GTP$
促进 $GTPase$ 结合的 $GTP$ 水解，从而使开关蛋白失活的因子是 _____。,$GAP$ ($GTPase\ activating\ protein$)
"钙调蛋白 ($calmodulin,\ CaM$) 分子具有多少个 $Ca^{2+}$ 结合位点？",4 个。
信号级联反应 ($signaling\ cascades$) 的主要功能是什么？,起始胞内信号的放大，将微弱的胞外信号转化为显著的胞内反应。
受体下调 ($down-regulation$) 的结果是什么？,终止或降低细胞对持续信号的反应。
细胞内信号蛋白相互作用通常靠什么特异性介导？,蛋白质模式结合域 ($modular\ binding\ domains$)。
$SH2$ 结构域主要识别蛋白质上的什么位点？,磷酸化的酪氨酸残基 ($phosphotyrosine$)。
支架蛋白 ($scaffold\ protein$) 在信号转导中的作用是什么？,预先将多种信号蛋白组装成复合物，提高信号传递的效率和特异性。
信号转导系统的主要特性包括特异性、放大效应、网络化与反馈调节以及 _____。,整合作用 ($integration$)
$G$ 蛋白偶联受体 ($GPCR$) 结构上的共同特征是具有几次跨膜螺旋？,7 次。
$GPCR$ 的 $N$-端位于细胞的哪一侧？,细胞外侧 ($extracellular$)。
三聚体 $G$ 蛋白由哪三个亚基组成？,$G\alpha$、 $G\beta$ 和 $G\gamma$。
$G$ 蛋白中的哪个亚基具有 $GTPase$ 活性？,$G\alpha$ 亚基。
$GPCR$ 信号通路中常见的三个效应器蛋白是什么？,离子通道蛋白、腺苷酸环化酶 ($AC$) 和磷酸脂酶 $C$ ($PLC$)。
在休息状态下， $G\alpha$ 亚基结合的是什么分子？,$GDP$
当配体结合 $GPCR$ 后， $G\alpha$ 亚基会发生什么变化以被激活？,$G\alpha$ 亚基释放 $GDP$ 并结合 $GTP$。
心肌细胞上的 $M$-型乙酰胆碱受体激活后，最终导致哪种离子通道开启？,$K^{+}$ 通道。
心肌细胞中 $K^{+}$ 外流会导致细胞膜发生什么电位变化？,超极化 ($hyperpolarization$)。
视紫红质 ($rhodopsin$) 由视蛋白和哪种物质组成？,视黄醛。
视觉反应中，光信号激活 $G_t$ 蛋白后，会激活哪种酶导致 $cGMP$ 减少？,$cGMP$ 磷酸二酯酶 ($PDE$)。
视觉系统中 $cGMP$ 浓度降低的结果是导致 _____ 通道关闭。,$cGMP$ 门控阳离子通道
刺激性 $G$ 蛋白 ($G_s$) 激活的效应器是 _____。,"腺苷酸环化酶 ($adenylyl\ cyclase,\ AC$)"
抑制性 $G$ 蛋白 ($G_i$) 对腺苷酸环化酶的作用是什么？,抑制其活性，降低靶细胞 $cAMP$ 水平。
腺苷酸环化酶 ($AC$) 在 $Mg^{2+}$ 存在下催化什么反应？,催化 $ATP$ 生成 $cAMP$。
哪种酶负责降解 $cAMP$ 生成 $5'-AMP$？,环腺苷酸磷酸二酯酶 ($PDE$)。
蛋白激酶 $A$ ($PKA$) 的结构组成是什么？,由 2 个调节亚基 ($R$) 和 2 个催化亚基 ($C$) 组成的四聚体。
$cAMP$ 活化 $PKA$ 的机制是什么？,$cAMP$ 与调节亚基结合，使其与催化亚基解离，释放出活性的催化亚基。
$PKA$ 催化亚基进入细胞核后，通过磷酸化哪种基因调控蛋白来激活转录？,$CREB$ ($cAMP\ response\ element\ binding\ protein$)。
$CREB$ 蛋白结合在 $DNA$ 的哪个特定序列上？,$CRE$ ($cAMP\ response\ element$)。
双信使系统 ($double\ messenger\ system$) 是指激活磷脂酶 $C$ 后产生的哪两个信使？,$IP_3$ 和 $DAG$。
$IP_3$ 的主要功能是诱导内质网释放 _____。,$Ca^{2+}$
$DAG$ 结合并激活哪种蛋白激酶？,蛋白激酶 $C$ ($PKC$)。
受体脱敏 ($desensitization$) 又常被称为 _____。,适应 ($adaptation$)
什么是“钙火花” ($calcium\ sparks$)？,心肌细胞中 $Ca^{2+}$ 释放通道局部、自发的开放导致的局部 $Ca^{2+}$ 浓度升高现象。
嗅觉受体偶联的是哪种特定的 $G$ 蛋白？,$G_{olf}$。
在 $GPCR$ 信号通路中，起“分子开关”促成状态转换的关键组分是 _____。,三聚体 $G$ 蛋白
$G\alpha$ 亚基上的 $GTPase$ 活性决定了信号传递的 _____。,持续时间（或信号的解除）。
由 $IP_3$ 引起的效应器反应中， $Ca^{2+}$ 通常起到什么作用？,作为胞内信使激活后续的酶（如 $PKC$ 或 $CaM-kinase$）。
$PKA$ 对糖原代谢的调节体现了信号转导的什么特性？,级联放大效应 ($amplification$)。
不同靶细胞对相同化学信号（如乙酰胆碱）产生不同反应的原因是什么？,不同靶细胞具有不同的受体类型或不同的胞内信号转导通路。
在 $cAMP$ 信号通路中，哪种激素常作为刺激性配体举例？,肾上腺素 ($epinephrine$) 或胰高血糖素 ($glucagon$)。
细胞衰老（Cell senescence）与 $G_0$ 期的细胞静止状态最主要的区别是什么？,衰老细胞处于不可逆的增殖停滞状态，而静止期细胞在特定条件下可返回细胞周期。
哪位科学家在1958年证实正常体细胞只能进行有限次数的分裂？,Leonard Hayflick
术语“Hayflick 界限（Hayflick Limit）”是指什么？,细胞在进入增殖停滞状态前的有限倍增次数。
衰老细胞在形态特征上通常表现为变大且呈什么形状？,扁平状
衰老细胞内溶酶体体积增大，常含有哪种未分解的脂类成分？,脂褐质（lipofuscin）
哪种酶的活化是鉴定衰老细胞最常用的生化标志？,衰老相关的 $\beta$- 半乳糖苷酶（SABG）
衰老细胞中通常会上调表达哪些细胞周期负调节因子？,$p21$、$p16$ 或 $p53$。
什么是 SAHF（Senescence-associated heterochromatin foci）现象？,衰老相关异染色质集中现象。
衰老相关分泌表型（SASP）包括哪些主要成分？,炎性因子、金属蛋白酶等分泌物。
根据端粒学说，细胞复制衰老的分子钟是什么？,端粒长度的缩短。
在衰老信号通路中，端粒缩短活化哪种蛋白后会诱导 $p21$ 表达？,$p53$ 蛋白
$p21$ 蛋白通过抑制哪种酶的活性来阻止 $Rb$ 蛋白磷酸化？,细胞周期蛋白依赖性激酶（CDKs）
当 $Rb$ 蛋白处于非磷酸化状态时，它会结合并失活哪种转录因子？,E2F
由于细胞衰老导致的哪种现象会使成体组织丧失更新能力？,成体干细胞耗竭（Stem cell exhaustion）
个体衰老在基因组水平上的一个重要标志是什么？,基因组 DNA 损伤的明显积累。
细胞程序性死亡（PCD）与随机被动性死亡的主要区别是什么？,PCD 是由细胞内在遗传机制控制的主动死亡方式。
哪种细胞死亡方式在死亡时质膜保持完整，且不诱导炎症反应？,细胞凋亡（Apoptosis）
哪位科学家在1972年正式命名了“细胞凋亡”？,John Kerr
在胚胎发育中，凋亡对于塑造个体形态（如手指形成）有何作用？,清除指/趾间的蹼状组织。
TUNEL 法（原位末端标记法）主要用于检测什么？,凋亡细胞中 DNA 分子的断裂情况。
凋亡细胞的 DNA 在电泳时呈现出的典型梯状条带（DNA Ladder）长度单位是多少？,$180\sim 200\text{ bp}$ 或其整数倍。
Caspase 是一类特异性切割靶蛋白哪个残基后的肽键的酶？,天冬氨酸残基（Aspartic acid）
Caspases 家族中，负责切割细胞结构蛋白的成员属于哪一类？,效应 Caspase（Executioner/Effector Caspase）
"起始 Caspase（如 Caspase-8, -9）的主要功能是什么？",对效应酶前体进行切割，产生有活性的效应 Caspases。
被 Caspase 活化的核酸酶 CAD 的全称是什么？,Caspase 激活的核酸酶（Caspase activated DNase）
外源性凋亡途径起始于死亡配体与哪类受体的结合？,死亡受体（Death Receptor，如 TNF 家族成员）
死亡受体的胞质部分含有哪个结构域，负责招募接头蛋白？,死亡结构域（Death domain，DD）
在线粒体引发的内源凋亡途径中，哪种物质从线粒体释放到胞质是关键步骤？,细胞色素 $c$（Cytochrome $c$）
凋亡复合体（Apoptosome）由细胞色素 $c$、Caspase-9 原和哪种蛋白组成？,Apaf-1
Bcl-2 家族成员中，Bax 和 Bak 属于哪种功能类别？,促凋亡蛋白（Pro-apoptotic）
IAP 蛋白在凋亡调控中的主要作用是什么？,通过与活性 Caspase 结合来抑制凋亡。
Smac（或 DIABLO）蛋白的作用机制是什么？,与 IAP 结合，释放被封闭的 Caspases，促进凋亡。
哪两种蛋白介导了 Caspase 非依赖性的细胞凋亡途径？,AIF 和 Endo G
程序性坏死（Necroptosis）与传统细胞坏死最大的区别是什么？,它受到细胞内特异基因的精密控制。
自噬性细胞死亡主要通过哪种细胞器降解自身物质？,溶酶体
植物细胞程序性死亡（PCD）通常利用哪种细胞器中的水解酶？,液泡（溶酶体）
植物遭遇病原体感染时的超敏反应（HR）属于哪种生理现象？,程序性细胞死亡（PCD）
封闭连接（如紧密连接）在小肠上皮细胞中的主要作用是什么？,防止溶质通过细胞间隙扩散，维持细胞极性。
锚定连接中，半桥粒（Hemidesmosome）负责哪种类型的连接？,细胞与细胞外基质（ECM）间的连接。
哪种细胞连接允许小分子和离子在相邻动物细胞间直接通过？,通讯连接（如间隙连接/Gap Junction）
植物细胞特有的细胞间通讯通道是什么？,胞间连丝（Plasmodesmata）
钙黏蛋白（Cadherin）的黏着功能通常依赖于哪种离子的存在？,$Ca^{2+}$ 离子
细胞黏着分子（CAM）根据其属性主要分为哪几类？,钙黏蛋白、选择素、整联蛋白和免疫球蛋白超家族。
在细胞凋亡过程中，哪种现象会导致质膜上磷脂酰丝氨酸（PS）外露？,PS 翻转（PS flip）
凋亡小体（Apoptotic bodies）最终由哪类细胞清除？,吞噬细胞（Phagocytic cells）
胁迫诱导的早熟性衰老（SIPS）与复制衰老有何不同？,SIPS 是由环境胁迫（如氧化压力、药物）引起的非端粒依赖性衰老。
在秀丽隐杆线虫中，发育过程中会有多少个细胞发生程序性死亡？,$131$ 个
端粒缩短被细胞识别为哪种类型的信号从而引发 $p53$ 活化？,DNA 损伤信号
细胞内蛋白稳态丧失（Loss of Proteostasis）对衰老有何影响？,导致错误折叠蛋白质堆积，加速个体衰老。
间隙连接（Gap Junction）的基本结构单位是什么？,连接子（Connexon）
