错配修复系统识别母链的依据是什么？,Dam 甲基化酶使 $5'-GATC$ 序列中腺苷酸的 $N^6$ 位甲基化。,甲基化标记,hard
碱基切除修复中，特异性切除受损碱基并形成 AP 位点的酶是什么？,糖苷水解酶。,切碱基酶,medium
什么是 SOS 修复系统？,细胞在 DNA 严重受损或复制受阻时的应急生存措施。,应急修复,medium
名词解释：操纵子,原核生物基因表达调控的单位，由启动子、操纵基因及一组功能相关的结构基因组成。,调控单位,medium
在乳糖操纵子中，阻遏蛋白结合在哪个位置会阻止转录？,操纵基因（$lacO$）。,结合位点,medium
乳糖操纵子的诱导因子（如异乳糖）是如何激发转录的？,与阻遏蛋白结合使其构象改变，从而从操纵基因上脱落。,使阻遏脱落,hard
cAMP-CRP 复合物是如何激活乳糖操纵子的？,帮助 RNA 聚合酶结合到启动子区域。,助聚合酶结合,hard
什么是代谢物阻遏效应（分解物阻遏）？,当葡萄糖存在时，细菌优先利用葡萄糖而抑制利用其他碳源（如乳糖）的基因表达。,葡萄糖优先,medium
色氨酸（trp）操纵子在色氨酸浓度高时是如何调节的？,色氨酸作为辅阻遏物激活阻遏蛋白，结合操纵基因关闭转录。,辅阻遏,hard
名词解释：弱化子,位于原核操纵子核心基因上游，能通过形成发夹结构显著减弱或终止转录的序列。,发夹结构,hard
色氨酸操纵子弱化机制的关键是什么？,翻译与转录的密切偶联。,偶联机制,hard
在高浓度色氨酸条件下，弱化子如何终止转录？,核糖体快速翻译前导肽，使 RNA 形成 $3-4$ 区配对的茎-环终止子结构。,茎环结构,hard
名词解释：管家基因,在个体所有细胞中持续表达，维持细胞基本结构和代谢所必需的基因。,持续表达,medium
真核基因转录调节区相对于原核生物有何特点？,调节区大得多，且可能远离核心启动子几百甚至上千个碱基对。,远离启动子,medium
什么是顺式作用元件？,调节基因表达的 DNA 序列，如启动子、增强子和沉默子。,DNA序列,medium
什么是反式作用因子？,能结合在顺式作用元件上调控基因表达的蛋白质或 RNA。,结合元件,medium
增强子的主要特征之一是其效应与位置、取向无关，这指什么？,无论位于靶基因上游、下游或内部，正向或反向排列，都能发挥作用。,位置无关,medium
常见的一种 DNA 结合域结构特征是什么？,锌指结构（或螺旋-转折-螺旋等）。,结合域,medium
RNA 聚合酶与 DNA 聚合酶在合成起始上的最大区别是什么？,RNA 聚合酶具有从头起始转录的能力，不需要引物。,不需引物,medium
名词解释：启动子,位于结构基因 $5'$ 端上游，能活化 RNA 聚合酶并决定转录起始特异性的 DNA 序列。,转录起点,medium
原核生物 mRNA 的 $5'$ 端和 $3'$ 端结构特征是什么？,$5'$ 端无帽子结构，$3'$ 端无或只有极短的多(A)结构。,无帽子,medium
真核 mRNA $5'$ 端“帽子”的主要成分是什么？,$7$-甲基化鸟苷（$m^7G$）。,甲基化鸟苷,medium
真核 mRNA 加工中，内含子剪接遵循的保守序列规则是什么？,GU-AG 法则（$5'$ 端 GU，$3'$ 端 AG）。,剪接规则,hard
原核生物转录起始时，负责识别启动子起始点的亚基是什么？,$\sigma$ 因子（起始亚基）。,起始亚基,medium
真核基因核心启动子中最重要的保守序列是什么？,TATA 序列（TATA 框）。,TATA,medium
真核生物中转录生成 mRNA 前体分子的酶是什么？,RNA 聚合酶 II。,RNA聚合酶II,medium
原核生物核糖体的沉降系数是多少？,$70S$。,沉降系数,easy
遗传密码的“简并性”是指什么？,多种不同的密码子对应同一种氨基酸。,多对一,medium
终止密码子有哪些？,UAA、UAG、UGA。,三个终止子,easy
起始密码子是什么？,AUG。,起始子,easy
核糖体上负责结合新到来的氨酰-tRNA 的位点是什么？,A 位点。,进入位,easy
核糖体上负责结合肽酰-tRNA 的位点是什么？,P 位点。,肽酰位,easy
原核生物蛋白质合成的起始氨基酸是什么？,甲酰甲硫氨酰-tRNA ($fMet-tRNA^{fMet}$)。,修饰甲硫氨酸,medium
原核生物翻译起始时，mRNA 与 $30S$ 小亚基结合依赖的序列是什么？,SD 序列。,结合序列,medium
蛋白质合成中，负责将核糖体向 mRNA $3'$ 端移动一个密码子的延伸因子是什么？,EF-G（移位酶）。,移位酶,medium
什么是克隆载体？,能使目的 DNA 片段在宿主细胞中进行复制的载体。,复制载体,medium
表达载体相比克隆载体必须具备哪些额外结构？,启动子和终止子。,表达必备,medium
名词解释：cDNA 文库,以特定组织或发育阶段的 mRNA 为模板，逆转录合成的互补 DNA 克隆集合。,逆转录集合,hard
YAC（酵母人工染色体）的主要优点是什么？,能携带极大片段的外源 DNA ($100-2000\text{ kb}$)。,大容量,medium
核小体的组蛋白八聚体核心由哪些蛋白质组成？,$2$ 个 $H2A$、$2$ 个 $H2B$、$2$ 个 $H3$ 和 $2$ 个 $H4$。,4种各2个,medium
